Date	High	Low	Open	Close	Volume	Adj Close
2009-10-08	86.0	86.0	86.0	86.0	200.0	75.21797180175781
2009-10-09	85.51000213623047	85.19999694824219	85.51000213623047	85.19999694824219	2200.0	74.51826477050781
2009-10-12	86.38999938964844	86.05000305175781	86.05000305175781	86.38999938964844	4700.0	75.55907440185547
2009-10-13	84.55000305175781	84.55000305175781	84.55000305175781	84.55000305175781	3700.0	73.94977569580078
2009-10-14	90.5	88.5	89.0	88.5	400.0	77.404541015625
2009-10-15	89.44999694824219	89.44999694824219	89.44999694824219	89.44999694824219	300.0	78.2354507446289
2009-10-16	89.44999694824219	89.44999694824219	89.44999694824219	89.44999694824219	0.0	78.2354507446289
2009-10-19	89.44999694824219	89.44999694824219	89.44999694824219	89.44999694824219	0.0	78.2354507446289
2009-10-20	89.44999694824219	89.44999694824219	89.44999694824219	89.44999694824219	0.0	78.2354507446289
2009-10-21	89.44999694824219	89.44999694824219	89.44999694824219	89.44999694824219	0.0	78.2354507446289
2009-10-22	84.8499984741211	84.75	84.75	84.8499984741211	400.0	74.212158203125
2009-10-23	84.83999633789062	84.83999633789062	84.83999633789062	84.83999633789062	300.0	74.20340728759766
2009-10-26	84.83999633789062	84.83999633789062	84.83999633789062	84.83999633789062	0.0	74.20340728759766
2009-10-27	79.75	79.5999984741211	79.5999984741211	79.75	400.0	69.75154876708984
2009-10-28	79.75	79.75	79.75	79.75	0.0	69.75154876708984
2009-10-29	79.75	79.75	79.75	79.75	0.0	69.75154876708984
2009-10-30	78.0999984741211	74.75	78.0999984741211	74.75	500.0	65.37841796875
2009-11-02	78.31999969482422	76.0	76.19999694824219	78.31999969482422	500.0	68.50083923339844
2009-11-03	75.77999877929688	74.80000305175781	74.80000305175781	75.25	400.0	65.81572723388672
2009-11-04	79.30000305175781	78.1500015258789	78.1500015258789	79.30000305175781	100.0	69.35797119140625
2009-11-05	79.80000305175781	79.80000305175781	79.80000305175781	79.80000305175781	100.0	69.7952880859375
2009-11-06	80.0	80.0	80.0	80.0	100.0	69.97021484375
2009-11-09	83.0	81.0	83.0	81.0	400.0	70.84483337402344
2009-11-10	81.0	81.0	81.0	81.0	0.0	70.84483337402344
2009-11-11	78.5999984741211	78.5999984741211	78.5999984741211	78.5999984741211	200.0	68.74573516845703
2009-11-12	77.5	77.5	77.5	77.5	100.0	67.78364562988281
2009-11-13	77.5	77.5	77.5	77.5	0.0	67.78364562988281
2009-11-16	80.55000305175781	80.55000305175781	80.55000305175781	80.55000305175781	100.0	70.45125579833984
2009-11-17	80.55000305175781	80.55000305175781	80.55000305175781	80.55000305175781	0.0	70.45125579833984
2009-11-18	79.69999694824219	78.6500015258789	79.69999694824219	78.69999694824219	400.0	68.83319091796875
2009-11-19	77.0	77.0	77.0	77.0	200.0	67.34632873535156
2009-11-20	75.3499984741211	75.3499984741211	75.3499984741211	75.3499984741211	100.0	65.9031982421875
2009-11-23	78.19999694824219	78.19999694824219	78.19999694824219	78.19999694824219	100.0	68.39588165283203
2009-11-24	76.75	76.75	76.75	76.75	100.0	67.12767028808594
2009-11-25	76.75	76.75	76.75	76.75	0.0	67.12767028808594
2009-11-27	76.75	76.75	76.75	76.75	0.0	67.12767028808594
2009-11-30	76.75	76.75	76.75	76.75	0.0	67.12767028808594
2009-12-01	71.0	71.0	71.0	71.0	100.0	62.09856033325195
2009-12-02	71.5	71.5	71.5	71.5	1500.0	62.5358772277832
2009-12-03	71.5	71.5	71.5	71.5	0.0	62.5358772277832
2009-12-04	71.5	71.5	71.5	71.5	0.0	62.5358772277832
2009-12-07	70.0	68.0	70.0	68.0	100.0	59.47467803955078
2009-12-08	68.0	65.0	65.0	67.6500015258789	1800.0	59.16855239868164
2009-12-09	67.0	67.0	67.0	67.0	100.0	58.600059509277344
2009-12-10	67.0	67.0	67.0	67.0	0.0	58.600059509277344
2009-12-11	67.0	67.0	67.0	67.0	0.0	58.600059509277344
2009-12-14	66.5999984741211	66.0	66.4000015258789	66.5999984741211	100.0	58.250205993652344
2009-12-15	66.0	65.25	66.0	65.25	700.0	57.069454193115234
2009-12-16	66.0	65.25	65.25	65.25	1700.0	57.069454193115234
2009-12-17	65.25	65.25	65.25	65.25	0.0	57.069454193115234
2009-12-18	62.29999923706055	62.0	62.29999923706055	62.150001525878906	800.0	54.35811233520508
2009-12-21	60.5	59.5	59.5	60.5	400.0	52.91497039794922
2009-12-22	61.650001525878906	61.20000076293945	61.20000076293945	61.650001525878906	1100.0	53.92079544067383
2009-12-23	61.650001525878906	61.650001525878906	61.650001525878906	61.650001525878906	0.0	53.92079544067383
2009-12-24	61.650001525878906	61.650001525878906	61.650001525878906	61.650001525878906	0.0	53.92079544067383
2009-12-28	62.0	61.70000076293945	62.0	61.70000076293945	300.0	53.96452331542969
